Tempo_ms,Ensaio,Ki,Setpoint,RPM_Medido,PWM_Out
2149,1,0.50,100.0,0.0,207
2299,1,0.50,100.0,39.0,134
2449,1,0.50,100.0,93.3,25
2599,1,0.50,100.0,107.3,0
2749,1,0.50,100.0,87.1,38
2899,1,0.50,100.0,67.0,81
3049,1,0.50,100.0,70.9,75
3200,1,0.50,100.0,79.4,60
3350,1,0.50,100.0,88.6,42
3500,1,0.50,100.0,86.0,49
3650,1,0.50,100.0,81.2,60
3800,1,0.50,100.0,80.8,62
3950,1,0.50,100.0,80.6,64
4100,1,0.50,100.0,86.4,53
4250,1,0.50,100.0,87.5,52
4400,1,0.50,100.0,85.2,57
4550,1,0.50,100.0,83.7,62
4700,1,0.50,100.0,85.6,59
4850,1,0.50,100.0,86.9,57
5000,1,0.50,100.0,87.8,57
5150,1,0.50,100.0,85.5,62
5300,1,0.50,100.0,86.8,61
5450,1,0.50,100.0,87.8,60
5600,1,0.50,100.0,88.4,59
5750,1,0.50,100.0,88.9,59
5900,1,0.50,100.0,89.2,59
6050,1,0.50,100.0,89.5,60
6200,1,0.50,100.0,89.6,60
6350,1,0.50,100.0,89.7,61
6500,1,0.50,100.0,89.8,61
6650,1,0.50,100.0,89.9,62
6800,1,0.50,100.0,92.9,56
6950,1,0.50,100.0,89.0,65
7100,1,0.50,100.0,92.3,59
7250,1,0.50,100.0,91.6,61
7400,1,0.50,100.0,91.1,62
7550,1,0.50,100.0,90.8,64
7700,1,0.50,100.0,90.6,65
7851,1,0.50,100.0,93.2,60
8001,1,0.50,100.0,95.2,57
8151,1,0.50,100.0,93.7,60
8301,1,0.50,100.0,92.6,63
8451,1,0.50,100.0,91.8,65
8601,1,0.50,100.0,91.3,67
8751,1,0.50,100.0,93.9,62
8901,1,0.50,100.0,95.7,58
9051,1,0.50,100.0,97.0,55
9201,1,0.50,100.0,91.9,66
9351,1,0.50,100.0,91.3,67
9501,1,0.50,100.0,93.9,62
9651,1,0.50,100.0,95.8,58
9801,1,0.50,100.0,94.0,61
9951,1,0.50,100.0,92.8,64
10101,1,0.50,100.0,92.0,66
10251,1,0.50,100.0,94.4,61
10401,1,0.50,100.0,96.1,57
10551,1,0.50,100.0,94.2,61
10701,1,0.50,100.0,93.0,64
10851,1,0.50,100.0,95.1,59
11001,1,0.50,100.0,93.6,62
11151,1,0.50,100.0,92.5,65
11301,1,0.50,100.0,94.7,60
11451,1,0.50,100.0,93.3,63
11601,1,0.50,100.0,92.3,65
11751,1,0.50,100.0,94.6,60
11901,1,0.50,100.0,96.2,57
12051,1,0.50,100.0,0.0,0
12201,1,0.50,100.0,0.0,0
12351,1,0.50,100.0,0.0,0
12502,1,0.50,100.0,0.0,0
12652,1,0.50,100.0,0.0,0
12802,1,0.50,100.0,0.0,0
12952,1,0.50,100.0,0.0,0
13102,1,0.50,100.0,0.0,0
13252,1,0.50,100.0,0.0,0
13402,1,0.50,100.0,0.0,0
13552,1,0.50,100.0,0.0,0
13702,1,0.50,100.0,0.0,0
13852,1,0.50,100.0,0.0,0
14002,2,1.00,100.0,0.0,215
14152,2,1.00,100.0,39.0,146
14302,2,1.00,100.0,99.3,25
14452,2,1.00,100.0,114.5,0
14602,2,1.00,100.0,92.2,38
14752,2,1.00,100.0,106.5,9
14902,2,1.00,100.0,80.6,64
15052,2,1.00,100.0,68.4,93
15202,2,1.00,100.0,80.9,71
15352,2,1.00,100.0,92.6,48
15502,2,1.00,100.0,91.8,51
15652,2,1.00,100.0,88.3,60
15802,2,1.00,100.0,85.8,67
15952,2,1.00,100.0,90.1,60
16102,2,1.00,100.0,90.0,61
16252,2,1.00,100.0,90.0,63
16402,2,1.00,100.0,93.0,58
16552,2,1.00,100.0,89.1,67
16702,2,1.00,100.0,92.4,62
16852,2,1.00,100.0,94.7,58
17002,2,1.00,100.0,93.3,62
17152,2,1.00,100.0,92.3,65
17302,2,1.00,100.0,94.6,61
17452,2,1.00,100.0,93.2,65
17602,2,1.00,100.0,92.3,68
17752,2,1.00,100.0,94.6,64
17902,2,1.00,100.0,96.2,62
18052,2,1.00,100.0,97.3,60
18202,2,1.00,100.0,98.1,59
18352,2,1.00,100.0,92.7,71
18502,2,1.00,100.0,94.9,67
18652,2,1.00,100.0,99.4,58
18802,2,1.00,100.0,96.6,64
18952,2,1.00,100.0,97.6,62
19102,2,1.00,100.0,95.3,68
19252,2,1.00,100.0,96.7,65
19402,2,1.00,100.0,97.7,64
19552,2,1.00,100.0,98.4,63
19702,2,1.00,100.0,98.9,62
19852,2,1.00,100.0,96.2,68
