Tempo_ms,Ensaio,Kp,Setpoint,RPM_Medido,PWM_Out
2149,1,1.00,100.0,0.0,100
2299,1,1.00,100.0,21.0,79
2449,1,1.00,100.0,47.7,52
2599,1,1.00,100.0,66.4,33
2749,1,1.00,100.0,67.5,32
2899,1,1.00,100.0,59.2,40
3049,1,1.00,100.0,56.5,43
3200,1,1.00,100.0,57.4,42
3350,1,1.00,100.0,55.2,44
3500,1,1.00,100.0,56.6,43
3650,1,1.00,100.0,60.6,39
3800,1,1.00,100.0,57.4,42
3950,1,1.00,100.0,58.2,41
4100,1,1.00,100.0,58.7,41
4250,1,1.00,100.0,59.1,40
4400,1,1.00,100.0,56.4,43
4550,1,1.00,100.0,54.5,45
4700,1,1.00,100.0,59.1,40
4850,1,1.00,100.0,56.4,43
5000,1,1.00,100.0,57.5,42
5150,1,1.00,100.0,58.2,41
5300,1,1.00,100.0,58.8,41
5450,1,1.00,100.0,59.1,40
5600,1,1.00,100.0,56.4,43
5750,1,1.00,100.0,57.5,42
5900,1,1.00,100.0,58.2,41
6050,1,1.00,100.0,58.8,41
6200,1,1.00,100.0,56.1,43
6350,1,1.00,100.0,57.3,42
6500,1,1.00,100.0,58.1,41
6650,1,1.00,100.0,58.7,41
6800,1,1.00,100.0,59.1,40
6950,1,1.00,100.0,56.4,43
7100,1,1.00,100.0,0.0,0
7250,1,1.00,100.0,0.0,0
7400,1,1.00,100.0,0.0,0
7550,1,1.00,100.0,0.0,0
7700,1,1.00,100.0,0.0,0
7851,1,1.00,100.0,0.0,0
8001,1,1.00,100.0,0.0,0
8151,1,1.00,100.0,0.0,0
8301,1,1.00,100.0,0.0,0
8451,1,1.00,100.0,0.0,0
8601,1,1.00,100.0,0.0,0
8751,1,1.00,100.0,0.0,0
8901,1,1.00,100.0,0.0,0
9051,2,1.50,100.0,0.0,150
9201,2,1.50,100.0,27.0,109
9351,2,1.50,100.0,72.9,40
9501,2,1.50,100.0,87.0,19
9651,2,1.50,100.0,75.9,36
9801,2,1.50,100.0,65.1,52
9951,2,1.50,100.0,63.6,54
10101,2,1.50,100.0,65.5,51
10251,2,1.50,100.0,69.9,45
10401,2,1.50,100.0,69.9,45
10551,2,1.50,100.0,66.9,49
10701,2,1.50,100.0,67.9,48
10851,2,1.50,100.0,68.5,47
11001,2,1.50,100.0,68.9,46
11151,2,1.50,100.0,66.3,50
11301,2,1.50,100.0,67.4,48
11451,2,1.50,100.0,68.2,47
11601,2,1.50,100.0,68.7,46
11751,2,1.50,100.0,69.1,46
11901,2,1.50,100.0,66.4,50
12051,2,1.50,100.0,67.5,48
12201,2,1.50,100.0,68.2,47
12351,2,1.50,100.0,68.8,46
12502,2,1.50,100.0,69.0,46
12652,2,1.50,100.0,66.3,50
12802,2,1.50,100.0,67.4,48
12952,2,1.50,100.0,68.2,47
13102,2,1.50,100.0,65.7,51
13252,2,1.50,100.0,70.0,44
13402,2,1.50,100.0,67.0,49
13552,2,1.50,100.0,67.9,48
13702,2,1.50,100.0,68.5,47
13852,2,1.50,100.0,69.0,46
14002,2,1.50,100.0,66.3,50
14152,2,1.50,100.0,0.0,0
14302,2,1.50,100.0,0.0,0
14452,2,1.50,100.0,0.0,0
14602,2,1.50,100.0,0.0,0
14752,2,1.50,100.0,0.0,0
14902,2,1.50,100.0,0.0,0
15052,2,1.50,100.0,0.0,0
15202,2,1.50,100.0,0.0,0
15352,2,1.50,100.0,0.0,0
15502,2,1.50,100.0,0.0,0
15652,2,1.50,100.0,0.0,0
15802,2,1.50,100.0,0.0,0
15952,2,1.50,100.0,0.0,0
16102,3,2.00,100.0,0.0,200
16252,3,2.00,100.0,36.0,128
16402,3,2.00,100.0,88.2,23
16552,3,2.00,100.0,103.7,0
16702,3,2.00,100.0,78.6,42
16852,3,2.00,100.0,61.0,77
17002,3,2.00,100.0,66.7,66
17152,3,2.00,100.0,76.7,46
17302,3,2.00,100.0,77.7,44
17452,3,2.00,100.0,75.4,49
17602,3,2.00,100.0,73.8,52
17752,3,2.00,100.0,72.6,54
17902,3,2.00,100.0,74.8,50
18052,3,2.00,100.0,73.4,53
18202,3,2.00,100.0,75.4,49
18352,3,2.00,100.0,73.8,52
18502,3,2.00,100.0,72.6,54
18652,3,2.00,100.0,74.8,50
18802,3,2.00,100.0,76.4,47
18952,3,2.00,100.0,74.5,51
19102,3,2.00,100.0,73.1,53
19252,3,2.00,100.0,72.2,55
19402,3,2.00,100.0,77.5,44
19552,3,2.00,100.0,72.3,55
19702,3,2.00,100.0,74.6,50
19852,3,2.00,100.0,73.2,53
20002,3,2.00,100.0,75.3,49
20152,3,2.00,100.0,73.7,52
20302,3,2.00,100.0,75.6,48
20452,3,2.00,100.0,70.9,58
20602,3,2.00,100.0,73.6,52
20752,3,2.00,100.0,75.5,48
20902,3,2.00,100.0,73.9,52
21052,3,2.00,100.0,72.7,54
21202,3,2.00,100.0,0.0,0
21352,3,2.00,100.0,0.0,0
21502,3,2.00,100.0,0.0,0
21652,3,2.00,100.0,0.0,0
21803,3,2.00,100.0,0.0,0
21953,3,2.00,100.0,0.0,0
22103,3,2.00,100.0,0.0,0
22253,3,2.00,100.0,0.0,0
22403,3,2.00,100.0,0.0,0
22553,3,2.00,100.0,0.0,0
22703,3,2.00,100.0,0.0,0
22853,3,2.00,100.0,0.0,0
23003,3,2.00,100.0,0.0,0
23153,4,2.50,100.0,0.0,250
23303,4,2.50,100.0,45.0,137
23453,4,2.50,100.0,103.5,0
23603,4,2.50,100.0,108.5,0
23753,4,2.50,100.0,81.9,45
23903,4,2.50,100.0,63.3,91
24053,4,2.50,100.0,71.3,71
24203,4,2.50,100.0,82.9,42
24353,4,2.50,100.0,85.1,37
24503,4,2.50,100.0,77.5,56
24653,4,2.50,100.0,75.3,61
24803,4,2.50,100.0,76.7,58
24953,4,2.50,100.0,77.7,55
25103,4,2.50,100.0,81.4,46
25253,4,2.50,100.0,78.0,55
25403,4,2.50,100.0,78.6,53
25553,4,2.50,100.0,79.0,52
25703,4,2.50,100.0,76.3,59
25853,4,2.50,100.0,77.4,56
26003,4,2.50,100.0,81.2,47
26153,4,2.50,100.0,77.8,55
26303,4,2.50,100.0,75.5,61
26454,4,2.50,100.0,79.7,50
26604,4,2.50,100.0,79.8,50
26754,4,2.50,100.0,76.8,57
26904,4,2.50,100.0,77.8,55
27054,4,2.50,100.0,78.4,53
27204,4,2.50,100.0,78.9,52
27354,4,2.50,100.0,79.2,51
27504,4,2.50,100.0,79.5,51
27654,4,2.50,100.0,73.6,65
27804,4,2.50,100.0,78.5,53
27954,4,2.50,100.0,82.0,45
28104,4,2.50,100.0,78.4,54
28254,4,2.50,100.0,0.0,0
28404,4,2.50,100.0,0.0,0
28554,4,2.50,100.0,0.0,0
28704,4,2.50,100.0,0.0,0
28854,4,2.50,100.0,0.0,0
29004,4,2.50,100.0,0.0,0
29154,4,2.50,100.0,0.0,0
29304,4,2.50,100.0,0.0,0
29454,4,2.50,100.0,0.0,0
29604,4,2.50,100.0,0.0,0
29754,4,2.50,100.0,0.0,0
29904,4,2.50,100.0,0.0,0
30054,4,2.50,100.0,0.0,0
30204,5,3.00,100.0,0.0,255
30354,5,3.00,100.0,42.0,174
30504,5,3.00,100.0,110.4,0
30654,5,3.00,100.0,122.3,0
30804,5,3.00,100.0,88.6,34
30954,5,3.00,100.0,68.0,95
31104,5,3.00,100.0,74.6,76
31254,5,3.00,100.0,88.2,35
31404,5,3.00,100.0,85.8,42
31554,5,3.00,100.0,78.0,65
31704,5,3.00,100.0,78.6,64
31854,5,3.00,100.0,79.0,62
32004,5,3.00,100.0,85.3,44
32154,5,3.00,100.0,83.7,48
32304,5,3.00,100.0,79.6,61
32454,5,3.00,100.0,79.7,60
32604,5,3.00,100.0,82.8,51
32754,5,3.00,100.0,82.0,54
32904,5,3.00,100.0,81.4,55
33054,5,3.00,100.0,81.0,57
33204,5,3.00,100.0,80.7,57
33354,5,3.00,100.0,80.5,58
33504,5,3.00,100.0,80.3,59
33654,5,3.00,100.0,83.2,50
33804,5,3.00,100.0,82.3,53
33954,5,3.00,100.0,78.6,64
34104,5,3.00,100.0,82.0,53
34254,5,3.00,100.0,84.4,46
34404,5,3.00,100.0,80.1,59
34554,5,3.00,100.0,80.1,59
34704,5,3.00,100.0,80.0,59
34854,5,3.00,100.0,83.0,50
35004,5,3.00,100.0,82.1,53
35154,5,3.00,100.0,81.5,55
35304,5,3.00,100.0,0.0,0
35454,5,3.00,100.0,0.0,0
35604,5,3.00,100.0,0.0,0
35755,5,3.00,100.0,0.0,0
35905,5,3.00,100.0,0.0,0
36055,5,3.00,100.0,0.0,0
36205,5,3.00,100.0,0.0,0
36355,5,3.00,100.0,0.0,0
36505,5,3.00,100.0,0.0,0
36655,5,3.00,100.0,0.0,0
36805,5,3.00,100.0,0.0,0
36955,5,3.00,100.0,0.0,0
37105,5,3.00,100.0,0.0,0
