Tempo_ms,Setpoint,RPM_Esq,RPM_Dir,PWM_Esq,PWM_Dir
2149,100.0,0.0,0.0,255,255
2299,100.0,30.0,33.0,159,152
2449,100.0,81.0,77.1,53,63
2599,100.0,104.7,102.0,15,21
2749,100.0,91.3,95.4,58,47
2899,100.0,78.9,81.8,87,81
3049,100.0,79.2,78.2,85,88
3200,100.0,85.3,84.6,73,74
3350,100.0,89.7,89.2,67,68
3500,100.0,89.8,89.4,71,71
3650,100.0,86.8,89.6,80,73
3800,100.0,90.8,86.7,71,82
3950,100.0,90.6,90.7,75,73
4100,100.0,90.4,93.5,77,69
4250,100.0,93.3,92.4,72,74
4400,100.0,95.3,91.7,69,77
4550,100.0,90.7,94.2,82,72
4700,100.0,93.5,92.9,75,77
4850,100.0,95.4,92.1,72,81
5000,100.0,93.8,94.4,78,76
5150,100.0,92.7,96.1,82,73
5300,100.0,94.9,97.3,77,72
5450,100.0,99.4,92.1,67,86
5600,100.0,96.6,94.5,76,79
5750,100.0,94.6,99.1,81,69
5900,100.0,96.2,96.4,77,78
6050,100.0,97.4,97.5,75,75
6200,100.0,95.2,95.2,82,82
6350,100.0,96.6,96.7,78,78
6500,100.0,97.6,97.7,77,77
6650,100.0,98.3,98.4,76,76
6800,100.0,98.8,95.9,75,83
6950,100.0,99.2,97.1,75,79
7100,100.0,96.4,101.0,82,70
7250,100.0,100.5,97.7,71,80
7400,100.0,97.4,98.4,81,78
7550,100.0,95.1,98.9,86,77
7700,100.0,99.6,99.2,74,76
7851,100.0,102.5,96.3,68,84
8001,100.0,95.8,97.4,87,81
8151,100.0,97.0,101.2,81,72
8301,100.0,97.9,100.8,80,74
8451,100.0,101.5,97.6,72,82
8601,100.0,101.1,98.3,74,80
8751,100.0,97.8,98.8,82,79
8901,100.0,98.4,99.2,79,78
9051,100.0,98.9,99.4,79,78
9201,100.0,99.2,96.6,78,86
9351,100.0,99.5,100.6,78,75
9501,100.0,99.6,103.4,78,69
9651,100.0,99.7,99.4,78,80
9801,100.0,99.8,96.6,78,86
9951,100.0,99.9,97.6,77,82
10101,100.0,96.9,101.3,85,74
10251,100.0,100.8,100.9,74,76
10401,100.0,100.6,97.6,76,84
10551,100.0,97.4,98.4,84,81
10701,100.0,98.2,101.8,82,73
10851,100.0,101.7,101.3,73,75
11001,100.0,101.2,97.9,76,84
11151,100.0,97.8,98.5,84,81
11301,100.0,98.5,99.0,81,81
11451,100.0,101.9,102.3,73,72
11601,100.0,101.4,98.6,75,83
11751,100.0,98.0,99.0,84,81
11901,100.0,98.6,102.3,81,72
12051,100.0,99.0,98.6,81,83
12201,100.0,102.3,99.0,72,80
12351,100.0,98.6,99.3,83,80
12502,100.0,98.8,102.3,81,73
12652,100.0,102.2,98.6,73,83
12802,100.0,98.5,99.0,83,81
12952,100.0,99.0,102.3,81,72
13102,100.0,99.3,98.6,80,83
13252,100.0,102.5,99.0,72,81
13402,100.0,101.7,99.3,75,80
13552,100.0,98.2,99.5,83,80
13702,100.0,95.8,102.7,89,72
13852,100.0,103.0,98.9,70,83
14002,100.0,102.1,99.2,74,80
14152,100.0,98.5,99.4,83,80
14302,100.0,98.9,102.6,81,72
14452,100.0,99.3,98.8,80,83
14602,100.0,99.5,99.2,80,80
14752,100.0,102.6,99.4,72,80
14902,100.0,98.8,102.6,83,72
15052,100.0,99.2,98.8,80,83
15202,100.0,99.4,99.2,80,80
15352,100.0,102.6,99.4,72,80
15502,100.0,98.8,99.6,83,80
15652,100.0,99.2,99.7,80,80
15802,100.0,99.4,99.8,80,80
15952,100.0,99.6,99.9,80,79
16102,100.0,99.7,102.9,80,72
16252,100.0,102.8,99.0,72,82
16402,100.0,99.0,99.3,82,80
16552,100.0,99.3,99.5,80,80
16702,100.0,96.5,99.7,88,80
16852,100.0,103.5,99.8,69,80
